,_time,type,identifier,experiment,start,end
5263,2023-10-04 13:38:58.719653+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5264,2023-10-04 13:38:58.719661+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5265,2023-10-04 13:38:58.719718+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5266,2023-10-04 13:38:58.719726+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5267,2023-10-04 13:38:58.719734+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5268,2023-10-04 13:38:58.719740+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5269,2023-10-04 13:38:58.719765+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5270,2023-10-04 13:38:58.719775+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5271,2023-10-04 13:38:58.719814+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5272,2023-10-04 13:38:58.720210+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5273,2023-10-04 13:38:58.720217+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5274,2023-10-04 13:38:58.720224+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5275,2023-10-04 13:38:58.722326+00:00,3.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5276,2023-10-04 13:38:58.722341+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5277,2023-10-04 13:38:58.722395+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5278,2023-10-04 13:38:58.722436+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5279,2023-10-04 13:38:58.722443+00:00,3.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5280,2023-10-04 13:38:58.722494+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5281,2023-10-04 13:38:58.722501+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
